Year,team,conference,total.games,total.wins,total.losses,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownConversions,thirdDowns,totalYards,turnovers,sacks,tacklesForLoss,division,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2010,Marshall,Conference USA,12,5,7,197.0,4.0,13.0,8.0,6.0,12.0,1.0,180.0,15.0,1.0,1286.0,59.0,2680.0,421.0,235.0,11.0,22.0,79.0,646.0,12404.0,1.0,146.0,32.0,345.0,7.0,1166.0,66.0,178.0,3771.0,23.0,,,East,0,8,4,4,0,6,4,2,0,6,1,5,0
2010,Maryland,ACC,13,9,4,228.0,14.0,21.0,4.0,10.0,13.0,4.0,310.0,10.0,0.0,914.0,53.0,2951.0,389.0,219.0,19.0,27.0,102.0,890.0,14024.0,2.0,576.0,37.0,433.0,21.0,1796.0,61.0,171.0,4587.0,14.0,,,Atlantic,0,8,5,3,0,6,5,1,0,5,2,3,0
2010,Memphis,Conference USA,12,1,11,172.0,1.0,7.0,13.0,5.0,12.0,0.0,120.0,13.0,0.0,1351.0,74.0,2560.0,335.0,187.0,8.0,14.0,76.0,584.0,13222.0,0.0,5.0,24.0,383.0,5.0,1099.0,53.0,165.0,3420.0,26.0,,,East,0,8,0,8,0,6,1,5,0,6,0,6,0
2010,Miami,ACC,13,7,6,288.0,8.0,21.0,9.0,12.0,13.0,2.0,155.0,27.0,1.0,865.0,44.0,3238.0,443.0,240.0,16.0,21.0,107.0,893.0,13485.0,1.0,154.0,45.0,494.0,19.0,2372.0,76.0,186.0,5477.0,36.0,,,Coastal,0,8,5,3,0,6,3,3,0,6,4,2,0
2010,Miami (OH),Mid-American,14,10,4,265.0,4.0,16.0,9.0,14.0,14.0,2.0,300.0,15.0,0.0,986.0,48.0,3797.0,504.0,323.0,21.0,19.0,77.0,636.0,16618.0,1.0,133.0,34.0,438.0,14.0,1376.0,70.0,195.0,4928.0,24.0,,,East,0,9,8,1,0,5,4,1,0,7,4,3,0
2010,Michigan,Big Ten,13,7,6,299.0,12.0,28.0,14.0,7.0,13.0,0.0,170.0,15.0,0.0,1544.0,72.0,3320.0,385.0,243.0,12.0,23.0,60.0,597.0,13596.0,0.0,104.0,23.0,556.0,35.0,3101.0,77.0,172.0,6353.0,29.0,,,,0,8,3,5,0,7,4,3,0,5,3,2,0
2010,Michigan State,Big Ten,13,11,2,252.0,12.0,17.0,9.0,7.0,13.0,0.0,197.0,10.0,0.0,979.0,50.0,3289.0,373.0,244.0,16.0,23.0,87.0,754.0,15787.0,1.0,260.0,38.0,444.0,25.0,1978.0,63.0,168.0,5051.0,19.0,,,,0,8,7,1,0,7,7,0,0,4,3,1,0
2010,Middle Tennessee,Sun Belt,13,6,7,242.0,7.0,12.0,14.0,8.0,13.0,2.0,286.0,24.0,1.0,1356.0,54.0,2642.0,384.0,226.0,11.0,9.0,80.0,726.0,12123.0,0.0,174.0,42.0,525.0,32.0,2350.0,75.0,199.0,4835.0,38.0,,,,0,8,5,3,0,6,3,3,0,6,3,3,0
2010,Minnesota,Big Ten,12,3,9,239.0,12.0,25.0,8.0,8.0,12.0,0.0,123.0,9.0,0.0,1248.0,61.0,2841.0,378.0,209.0,11.0,21.0,67.0,513.0,14365.0,0.0,99.0,23.0,447.0,14.0,1623.0,67.0,172.0,4336.0,17.0,,,,0,9,2,7,0,7,1,6,0,5,2,3,0
2010,Mississippi State,SEC,13,9,4,268.0,15.0,19.0,8.0,15.0,13.0,1.0,82.0,13.0,1.0,1083.0,51.0,2558.0,288.0,168.0,13.0,18.0,68.0,559.0,15200.0,0.0,153.0,39.0,619.0,28.0,2793.0,90.0,196.0,5217.0,21.0,,,West,0,8,4,4,0,7,5,2,0,5,3,2,0
